Framework,Version,Domain,Subdomain,Control_ID,Control_Clause,Mapping_ECC,Source_PDF,Source_Page
CCC,CCC-2:2024,Cybersecurity Governance,1-1 Cybersecurity Roles and Responsibilities,1-1-P-1,"In addition to the ECC control 1-4-1, the Authorizing Official shall also identify, document, and approve: Cybersecurity roles and RACI assignment for all stakeholders of the cloud services including the Authorizing Official's roles and responsibilities.",1-4-1,CCC-2-2024-EN.pdf,17
CCC,CCC-2:2024,Cybersecurity Governance,1-1 Cybersecurity Roles and Responsibilities,1-1-T-1,"In addition to the ECC control 1-4-1, the Authorizing Official shall also identify, document, and approve: Cybersecurity roles and RACI assignment for all stakeholders of the cloud services including the Authorizing Official's roles and responsibilities.",1-4-1,CCC-2-2024-EN.pdf,17
CCC,CCC-2:2024,Cybersecurity Governance,1-2 Cybersecurity Risk Management,1-2-P-1,"Cybersecurity risk management methodology mentioned in the ECC Subdomain 1-5, shall also include for the CSP, as a minimum: Defining acceptable risk levels for the cloud services and clarifying them to the CST if they are related to the CST; Considering data and information classification in cybersecurity risk management methodology; Developing cybersecurity risk register for cloud services and monitoring it periodically according to the risks.",1-5-1|1-5-2|1-5-3|1-5-4,CCC-2-2024-EN.pdf,17
CCC,CCC-2:2024,Cybersecurity Governance,1-2 Cybersecurity Risk Management,1-2-T-1,"Cybersecurity risk management methodology mentioned in the ECC Subdomain 1-5 shall also include for the CST, as a minimum: Defining acceptable risk levels for the cloud services; Considering data and information classification accredited by CST in cybersecurity risk management methodology; Developing cybersecurity risk register for cloud services and monitoring it periodically according to the risks.",1-5-1|1-5-2|1-5-3|1-5-4,CCC-2-2024-EN.pdf,17
CCC,CCC-2:2024,Cybersecurity Governance,1-3 Compliance with Cybersecurity Standards Laws and Regulations,1-3-P-1,"In addition to the ECC control 1-7-1, the CSP legislative and regulatory compliance should include as a minimum with the following requirements: Continuous compliance with all laws, regulations, instructions, decisions, regulatory frameworks and controls, and mandates regarding cybersecurity in the Kingdom.",1-7-1,CCC-2-2024-EN.pdf,18
CCC,CCC-2:2024,Cybersecurity Governance,1-3 Compliance with Cybersecurity Standards Laws and Regulations,1-3-T-1,"In addition to the ECC control 1-7-1, the CST legislative and regulatory compliance should include as a minimum with the following requirements: Continuous or real-time compliance monitoring of the CSP with relevant cybersecurity legislation and contract clauses.",1-7-1,CCC-2-2024-EN.pdf,18
CCC,CCC-2:2024,Cybersecurity Governance,1-4 Cybersecurity in Human Resources,1-4-P-1,"In addition to Subcontrols in the ECC controls 1-9-3 and 1-9-4, the following requirements should be covered prior and during the professional relationship of personnel with the CSP as a minimum: Positions of cybersecurity functions in CSP's data centers within the Kingdom must be filled with qualified and suitable Saudi nationals; Screening or vetting candidates of personnel working inside the Kingdom who have access to Cloud Technology Stack, periodically; Cybersecurity policies as a prerequisite to access to Cloud Technology Stack, signed and appropriately approved.",1-9-3|1-9-4,CCC-2-2024-EN.pdf,18
CCC,CCC-2:2024,Cybersecurity Governance,1-4 Cybersecurity in Human Resources,1-4-P-2,"In addition to Subcontrols in the ECC control 1-9-5, the following requirements should be in place, as a minimum, for the termination/completion of a human resource's professional relationship with the CSP: Assurance that assets owned by the entity (especially those with security exposure) are accounted for and returned upon termination.",1-9-5,CCC-2-2024-EN.pdf,18
CCC,CCC-2:2024,Cybersecurity Governance,1-4 Cybersecurity in Human Resources,1-4-T-1,"In addition to Subcontrols in the ECC control 1-9-3, the following requirements should be covered prior the professional relationship of staff with the CST shall cover, at a minimum: Screening or vetting candidates of personnel with access to Cloud Service sensitive functions (Key Management, Service Administration, Access Control).",1-9-3,CCC-2-2024-EN.pdf,18
CCC,CCC-2:2024,Cybersecurity Governance,1-5 Cybersecurity in Change Management,1-5-P-1,"Cybersecurity requirements for change management within the CSP shall be identified, documented, and approved.",N/A,CCC-2-2024-EN.pdf,19
CCC,CCC-2:2024,Cybersecurity Governance,1-5 Cybersecurity in Change Management,1-5-P-2,Cybersecurity requirements for change management within the CSP shall be applied.,N/A,CCC-2-2024-EN.pdf,19
CCC,CCC-2:2024,Cybersecurity Governance,1-5 Cybersecurity in Change Management,1-5-P-3,"Cybersecurity for change management in the CSP shall cover, as a minimum: Processes and procedures to securely implement changes (planned works) in production systems, with priority given to cybersecurity observations; Process for the implementation of cybersecurity exceptional changes (e.g.: changes during incident restoration).",N/A,CCC-2-2024-EN.pdf,19
CCC,CCC-2:2024,Cybersecurity Governance,1-5 Cybersecurity in Change Management,1-5-P-4,Cybersecurity requirements for change management within the CSP shall be applied and reviewed periodically.,N/A,CCC-2-2024-EN.pdf,19
CCC,CCC-2:2024,Cybersecurity Defense,2-1 Asset Management,2-1-P-1,"In addition to controls in the ECC control 2-1, the CSP shall cover the following additional controls for cybersecurity requirements for cybersecurity event logs and monitoring management, as a minimum: Inventory of all information and technology assets using suitable techniques such as Configuration Management Database (CMDB) or similar capability containing an inventory of all technical assets; Identifying assets owners and involving them in the asset management lifecycle.",2-1-1|2-1-2|2-1-3|2-1-4|2-1-5|2-1-6,CCC-2-2024-EN.pdf,20
CCC,CCC-2:2024,Cybersecurity Defense,2-1 Asset Management,2-1-T-1,"In addition to controls in the ECC control 2-1, the CST shall cover the following additional controls for cybersecurity requirements for cybersecurity event logs and monitoring management, as a minimum: Inventory of all cloud services and information and technology assets related to the cloud services.",2-1-1|2-1-2|2-1-3|2-1-4|2-1-5|2-1-6,CCC-2-2024-EN.pdf,20
CCC,CCC-2:2024,Cybersecurity Defense,2-10 Penetration Testing,2-10-P-1,"In addition to subcontrols in the ECC control 2-11-3, the CSP shall cover the following additional subcontrols for cybersecurity requirements for penetration testing, as a minimum: Scope of penetration tests must cover Cloud Technology Stack and must be conducted at least once every six months.",ECC 2-11-3 equivalent,CCC-2-2024-EN.pdf,26
CCC,CCC-2:2024,Cybersecurity Defense,2-11 Cybersecurity Event Logs and Monitoring Management,2-11-P-1,"In addition to subcontrols in the ECC control 2-12-3, the CSP shall cover the following additional subcontrols for cybersecurity requirements for cybersecurity event logs and monitoring management, as a minimum: Activating and protecting event logs and audit trails of Cloud Technology Stack; Activating and collecting login attempts history; Activating and protecting all event logs of activities and operations performed by the CSP at the tenant level in order to support forensic analysis; Protecting cybersecurity event logs from alteration, disclosure, destruction and unauthorized access and unauthorized release, in accordance with regulatory, or law requirements; Continuous cybersecurity events monitoring using SIEM technique covering the full Cloud Technology Stack; Reviewing cybersecurity event logs and audit trails periodically, covering CSP events in the Cloud Technology Stack; Automated monitoring and logging of remote access sessions event logs; Secure handling of user-related data found in the audit trails and the cybersecurity event logs.",ECC 2-12-3 equivalent,CCC-2-2024-EN.pdf,26
CCC,CCC-2:2024,Cybersecurity Defense,2-11 Cybersecurity Event Logs and Monitoring Management,2-11-T-1,"In addition to subcontrols in the ECC control 2-12-3, the CST shall cover the following additional subcontrols for cybersecurity requirements for cybersecurity event logs and monitoring management, as a minimum: Activating and collecting of login event logs, and cybersecurity event logs on assets related to cloud services; Monitoring shall include all activated cybersecurity logs on the cloud services of the CST.",ECC 2-12-3 equivalent,CCC-2-2024-EN.pdf,26
