Framework,Version,Domain,Subdomain,Control_ID,Control_Clause,Evidence_Examples,Mapping_CCC,Mapping_PDPL,Source_PDF,Source_Page
ECC,ECC-1:2018,Cybersecurity Governance,1-1 Cybersecurity Strategy,1-1-1,"A cybersecurity strategy must be defined, documented and approved. It must be supported by the head of the organization or his/her delegate (referred to in this document as Authorizing Official). The strategy goals must be in-line with related laws and regulations.",Cybersecurity strategy document signed by Authorizing Official; Board/Executive meeting minutes approving strategy; Strategy alignment matrix with laws/regulations,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-1 Cybersecurity Strategy,1-1-2,A roadmap must be executed to implement the cybersecurity strategy.,Cybersecurity roadmap with milestones and timelines; Implementation progress reports; Project plans for cybersecurity initiatives,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-1 Cybersecurity Strategy,1-1-3,The cybersecurity strategy must be reviewed periodically according to planned intervals or upon changes to related laws and regulations.,Strategy review schedule; Review meeting minutes; Updated strategy documents with version control; Change impact assessments,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-2 Cybersecurity Management,1-2-1,"A dedicated cybersecurity function (e.g., division, department) must be established within the organization. This function must be independent from the Information Technology/Information Communication and Technology (IT/ICT) functions (as per the Royal Decree number 37140 dated 14/8/1438H). It is highly recommended that this function reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest.",Organizational chart showing cybersecurity function; Job descriptions for cybersecurity roles; Reporting structure documentation; Independence assessment,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-2 Cybersecurity Management,1-2-2,"The position of cybersecurity function head (e.g., CISO), and related supervisory and critical positions within the function, must be filled with full-time and experienced Saudi cybersecurity professionals.",CISO employment contract (full-time); CV and certifications of Saudi cybersecurity professionals; Proof of nationality; Experience verification documents,,Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-2 Cybersecurity Management,1-2-3,"A cybersecurity steering committee must be established by the Authorizing Official to ensure the support and implementation of the cybersecurity programs and initiatives within the organization. Committee members, roles and responsibilities, and governance framework must be defined, documented and approved. The committee must include the head of the cybersecurity function as one of its members. It is highly recommended that the committee reports directly to the head of the organization or his/her delegate while ensuring that this does not result in a conflict of interest.",Steering committee charter; Committee member list with roles; Meeting minutes and attendance records; Decision logs; Committee reporting structure,"Art. 3, Art. 4",Not Applicable,ecc-en.pdf,14
ECC,ECC-1:2018,Cybersecurity Governance,1-3 Cybersecurity Policies and Procedures,1-3-1,"Cybersecurity policies and procedures must be defined and documented by the cybersecurity function, approved by the Authorizing Official, and disseminated to relevant parties inside and outside the organization.",Policy and procedure documents with approval signatures; Dissemination records (emails, training sessions); Acknowledgment receipts from staff,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-3 Cybersecurity Policies and Procedures,1-3-2,The cybersecurity function must ensure that the cybersecurity policies and procedures are implemented.,Implementation evidence (system configurations, access logs); Compliance audit reports; Gap analysis reports,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-3 Cybersecurity Policies and Procedures,1-3-3,"The cybersecurity policies and procedures must be supported by technical security standards (e.g., operating systems, databases and firewall technical security standards).",Technical security standards documents; Hardening guides; Configuration baselines; Security templates,,Not Applicable,ecc-en.pdf,15
ECC,ECC-1:2018,Cybersecurity Governance,1-3 Cybersecurity Policies and Procedures,1-3-4,The cybersecurity policies and procedures must be reviewed periodically according to planned intervals or upon changes to related laws and regulations. Changes and reviews must be approved and documented.,Review schedule; Review meeting minutes; Change control records; Version-controlled policy documents; Approval signatures,,Not Applicable,ecc-en.pdf,15
